代碼,名稱,成交
1565,精華,819
3658,漢微科,819
8406,F-金可,514
4152,台微體,337.5
2729,瓦城,257
4162,智擎,247.5
3691,碩禾,240
3131,弘塑,216.5
8299,群聯,216
4966,F-譜瑞,214
31631,波若一,192
3176,基亞,188
2926,誠品生,184
8416,實威,177.5
1256,F-鮮活,175.5
41144,健喬四,175
4965,商店街,175
5274,信驊,173.5
6803,崑鼎,170.5
17203,生達三,168
62062,飛捷二,165
8044,網家,162.5
3611,鼎翰,162
32605,威剛五,154
20592,川湖二,153
5903,全家,151
4994,傳奇,146
24612,光群二,145
1558,伸興,145
6121,新普,143
1565,精華,819
3658,漢微科,819
8406,F-金可,514
4152,台微體,337.5
2729,瓦城,257
4162,智擎,247.5
3691,碩禾,240
3131,弘塑,216.5
8299,群聯,216
4966,F-譜瑞,214
31631,波若一,192
3176,基亞,188
2926,誠品生,184
8416,實威,177.5
1256,F-鮮活,175.5
41144,健喬四,175
4965,商店街,175
5274,信驊,173.5
6803,崑鼎,170.5
17203,生達三,168
62062,飛捷二,165
8044,網家,162.5
3611,鼎翰,162
32605,威剛五,154
20592,川湖二,153
5903,全家,151
4994,傳奇,146
24612,光群二,145
1558,伸興,145
6121,新普,143
