代碼,名稱,成交
3008,大立光,810
0081,恒香港,777
3673,F-TPK,585
2727,王品,417
0080,恒中國,371.3
2454,聯發科,366.5
2357,華碩,345
2707,晶華,330.5
2227,裕日車,282.5
2498,宏達電,279.5
2207,和泰車,260
3697,F-晨星,251.5
8422,可寧衛,242
2059,川湖,232
2049,上銀,212
2912,統一超,190.5
9914,美利達,189.5
1476,儒鴻,184
9921,巨大,176
3406,玉晶光,174
5264,F-鎧勝,172.5
2723,F-美食,167
6286,立錡,162.5
1590,F-亞德,156
3034,聯詠,153
2474,可成,151
2308,台達電,146
1723,中碳,144.5
2395,研華,139.5
3356,奇偶,137.5
3454,晶睿,129.5
1477,聚陽,125.5
6271,同欣電,121.5
6176,瑞儀,118
4164,承業醫,110
2330,台積電,110
3045,台灣大,110
3515,華擎,108
1707,葡萄王,105.5
1227,佳格,105
8070,長華,103.5
2451,創見,103
5534,長虹,101.5
3189,景碩,101
2105,正新,100
5203,訊連,98.8
6269,台郡,98.8
2412,中華電,95.2
3598,奕力,94.9
2450,神腦,93.8
3443,創意,93.3
8072,陞泰,93.2
8081,致新,91.5
5871,F-中租,91.3
2379,瑞昱,87.5
2114,鑫永銓,87.2
2548,華固,85.7
2385,群光,85.2
3638,F-IML,83.7
3060,銘異,82.8
